Date,Close/Last,Volume,Open,High,Low
03/31/2020,$136.51,3614963,$135.69,$139.44,$135.68
03/30/2020,$137.74,3869504,$132.25,$138.01,$131.06
03/27/2020,$133.24,4262337,$132.83,$137.07,$130.91
03/26/2020,$136.18,6718291,$131.79,$136.38,$130.61
03/25/2020,$131.54,7742500,$133.15,$134.69,$126.80
03/24/2020,$132.72,9311725,$122.29,$133.45,$121.00
03/23/2020,$117.87,7934299,$128.16,$128.40,$114.04
03/20/2020,$124.89,9589183,$138.07,$139.24,$122.71
03/19/2020,$137.51,6365999,$137.71,$140.18,$132.93
03/18/2020,$137.02,6860393,$128.46,$139.37,$128.39
03/17/2020,$134.44,6535424,$131.94,$136.77,$129.61
03/16/2020,$130.91,7440840,$129.86,$135.50,$128.01
03/13/2020,$141.68,6580346,$141.01,$141.69,$131.00
03/12/2020,$133.58,8215829,$139.96,$141.71,$130.34
03/11/2020,$147.24,4753737,$149.73,$149.73,$146.47
03/10/2020,$153.30,5651741,$149.02,$153.38,$144.882
03/09/2020,$144.06,8194358,$146.59,$149.46,$143.55
03/06/2020,$153.65,7155126,$149.59,$154.74,$147.87
03/05/2020,$151.41,5887040,$150.80,$154.35,$149.5475
03/04/2020,$153.98,5773845,$147.02,$154.00,$145.99
03/03/2020,$145.24,8296485,$152.44,$154.00,$144.44
03/02/2020,$153.02,8026254,$151.34,$153.43,$148.37
02/28/2020,$149.24,11508710,$154.09,$156.72,$146.00
02/27/2020,$150.16,8241561,$151.23,$155.43,$149.00
02/26/2020,$148.96,5155285,$149.57,$151.82,$148.09
02/25/2020,$146.85,5263388,$153.31,$153.44,$145.97
02/24/2020,$152.55,3635787,$154.45,$154.71,$152.22
02/21/2020,$156.93,3535642,$158.33,$158.59,$156.12
02/20/2020,$158.56,3275083,$159.00,$161.39,$158.50
02/19/2020,$159.34,2296554,$159.08,$160.47,$158.36
02/18/2020,$158.88,2481963,$160.36,$160.53,$158.04
02/14/2020,$161.01,2233840,$159.85,$161.14,$158.82
02/13/2020,$159.76,3414117,$161.76,$161.87,$159.00
02/12/2020,$163.80,2736382,$164.24,$165.04,$163.5651
02/11/2020,$162.45,2275323,$161.00,$162.52,$160.02
02/10/2020,$160.15,2754764,$160.21,$161.255,$158.87
02/07/2020,$160.08,2736232,$161.41,$161.92,$159.63
02/06/2020,$162.89,3413761,$164.49,$165.00,$162.47
02/05/2020,$162.33,3118214,$159.12,$162.33,$158.70
02/04/2020,$157.24,4363945,$159.77,$159.96,$157.00
02/03/2020,$156.59,3927092,$160.03,$160.31,$156.38
01/31/2020,$158.66,5740330,$162.00,$162.652,$158.225
01/30/2020,$162.51,4357053,$161.00,$162.64,$158.76
01/29/2020,$162.00,5344836,$166.35,$166.47,$161.53
01/28/2020,$165.58,8920690,$171.90,$172.34,$165.05
01/27/2020,$175.63,4361414,$179.86,$180.59,$175.54
01/24/2020,$178.15,2643095,$178.49,$179.81,$177.53
01/23/2020,$177.74,2358443,$177.07,$178.435,$176.39
01/22/2020,$178.03,2420200,$179.51,$180.57,$177.88
01/21/2020,$179.39,3368041,$181.85,$181.91,$178.63
01/17/2020,$181.35,3690110,$181.00,$182.1545,$180.70
01/16/2020,$181.01,2149924,$180.68,$181.20,$179.69
01/15/2020,$179.78,2482218,$181.42,$181.86,$179.18
01/14/2020,$181.37,2911327,$180.92,$182.545,$180.21
01/13/2020,$180.92,2091209,$180.94,$182.23,$180.36
01/10/2020,$180.47,2103818,$181.61,$182.18,$180.14
01/09/2020,$181.20,2746346,$181.51,$181.59,$179.76
01/08/2020,$180.63,2758339,$178.00,$181.50,$177.65
01/07/2020,$177.90,2176615,$178.28,$178.51,$176.82
01/06/2020,$178.62,1997981,$177.15,$178.71,$176.35
01/03/2020,$178.45,2467310,$177.02,$178.66,$175.63
01/02/2020,$180.00,3448335,$177.68,$180.01,$177.1356
12/31/2019,$176.42,1574011,$175.23,$176.59,$175.07
12/30/2019,$175.83,1715119,$177.26,$178.9632,$175.59
12/27/2019,$177.26,1472999,$176.65,$177.54,$175.62
12/26/2019,$176.59,1435527,$176.45,$176.66,$175.50
12/24/2019,$176.68,1259530,$178.27,$178.67,$176.0419
12/23/2019,$178.47,4876334,$176.71,$179.18,$176.56
12/20/2019,$175.37,7513632,$174.79,$175.47,$172.20
12/19/2019,$172.15,2757612,$169.62,$172.58,$169.15
12/18/2019,$169.03,2270426,$169.78,$170.00,$168.19
12/17/2019,$169.93,2672645,$170.35,$171.79,$169.21
12/16/2019,$170.75,2917226,$168.94,$170.83,$168.19
12/13/2019,$168.79,2098066,$169.62,$171.1248,$168.08
12/12/2019,$168.56,2872506,$166.73,$170.85,$166.325
12/11/2019,$168.74,1859298,$168.38,$168.84,$167.33
12/10/2019,$167.66,2670466,$169.13,$169.39,$166.9703
12/09/2019,$169.83,2087248,$169.40,$171.26,$168.79
12/06/2019,$171.47,3880746,$167.25,$171.99,$167.25
12/05/2019,$164.37,3309411,$167.22,$167.87,$162.7201
12/04/2019,$167.14,2140161,$166.42,$168.865,$166.00
12/03/2019,$165.17,2727837,$166.50,$166.60,$164.40
12/02/2019,$168.27,2342652,$170.16,$171.70,$168.24
11/29/2019,$169.77,942523,$170.43,$170.58,$169.26
11/27/2019,$170.61,1331913,$170.00,$171.37,$169.51
11/26/2019,$169.23,2610945,$169.80,$170.25,$168.71
11/25/2019,$170.24,2761863,$168.47,$170.355,$167.871
11/22/2019,$167.60,3268383,$165.50,$167.75,$165.00
11/21/2019,$165.14,3605927,$166.88,$167.00,$164.51
11/20/2019,$167.77,2692491,$169.79,$170.00,$167.15
11/19/2019,$170.68,1791801,$171.72,$171.72,$169.53
11/18/2019,$170.54,2364756,$170.79,$171.195,$169.17
11/15/2019,$171.88,2617186,$171.66,$172.69,$171.04
11/14/2019,$170.93,1613987,$169.98,$172.32,$169.93
11/13/2019,$170.55,1830861,$170.11,$171.39,$169.58
11/12/2019,$170.84,1740740,$170.36,$172.07,$170.03
11/11/2019,$170.11,2664268,$172.50,$172.50,$169.65
11/08/2019,$173.15,1615589,$174.58,$174.87,$172.11
11/07/2019,$174.52,3358790,$175.73,$176.71,$173.79
11/06/2019,$174.00,3012883,$174.91,$175.00,$172.36
11/05/2019,$175.27,2304382,$175.00,$175.46,$173.77
11/04/2019,$174.90,4142793,$171.62,$175.00,$171.62
11/01/2019,$170.09,2467439,$166.94,$170.15,$166.72
10/31/2019,$164.99,2653140,$168.51,$168.56,$163.55
10/30/2019,$168.37,1780351,$168.23,$168.57,$167.03
10/29/2019,$168.81,2669380,$168.03,$169.95,$167.51
10/28/2019,$169.06,3138032,$166.48,$169.71,$166.20
10/25/2019,$166.09,3104753,$162.51,$167.63,$162.13
10/24/2019,$161.89,5959562,$165.16,$165.25,$159.6311
10/23/2019,$168.76,2717458,$167.41,$168.76,$166.56
10/22/2019,$167.54,2085530,$166.27,$168.905,$165.10
10/21/2019,$165.94,2011631,$165.47,$166.15,$164.76
10/18/2019,$163.10,2693736,$163.56,$164.27,$162.98
10/17/2019,$163.54,1984704,$163.14,$165.49,$163.08
10/16/2019,$162.18,1951970,$163.10,$164.20,$162.12
10/15/2019,$162.98,3103740,$159.35,$164.02,$159.35
10/14/2019,$160.51,3283072,$158.04,$162.39,$157.34
10/11/2019,$158.10,4686467,$154.13,$159.60,$154.11
10/10/2019,$152.31,3201645,$150.95,$153.0931,$150.87
10/09/2019,$150.99,3434926,$152.34,$152.44,$150.79
10/08/2019,$150.74,2822012,$152.33,$152.80,$150.58
10/07/2019,$153.52,2522123,$155.00,$155.35,$153.52
10/04/2019,$155.82,2648859,$155.23,$156.05,$154.4001
10/03/2019,$155.23,3089563,$155.14,$155.46,$150.81
10/02/2019,$155.65,3046851,$157.06,$157.22,$154.63
10/01/2019,$158.38,3283467,$165.00,$165.21,$158.17
09/30/2019,$164.40,2574771,$165.21,$165.565,$163.94
09/27/2019,$164.53,2870298,$164.48,$165.6397,$163.5201
09/26/2019,$163.83,2784498,$164.00,$164.41,$162.80
09/25/2019,$164.00,2788159,$164.76,$164.98,$163.685
09/24/2019,$164.74,3052313,$167.05,$167.55,$164.16
09/23/2019,$166.76,2114937,$165.49,$167.4299,$164.50
09/20/2019,$166.76,3712913,$167.43,$169.17,$166.48
09/19/2019,$167.07,1631552,$167.39,$168.81,$166.91
09/18/2019,$167.44,2190557,$167.61,$168.05,$165.25
09/17/2019,$168.07,2742017,$167.76,$168.57,$166.50
09/16/2019,$169.67,2459306,$171.21,$171.21,$167.91
09/13/2019,$171.44,2534191,$170.59,$172.48,$169.86
09/12/2019,$170.58,2870355,$169.62,$171.85,$168.61
09/11/2019,$168.08,3579099,$169.86,$169.89,$165.37
09/10/2019,$168.86,3240355,$166.16,$169.10,$166.01
09/09/2019,$165.94,3091339,$165.00,$167.85,$164.69
09/06/2019,$163.94,1762386,$164.64,$164.88,$162.95
09/05/2019,$164.23,2421764,$162.50,$166.4148,$162.39
09/04/2019,$160.07,1520739,$159.83,$160.63,$158.99
09/03/2019,$158.64,1835782,$161.40,$161.63,$157.26
08/30/2019,$161.72,1967010,$161.57,$162.1458,$160.41
08/29/2019,$160.36,3170688,$159.30,$161.03,$159.05
08/28/2019,$157.55,2352823,$155.10,$157.78,$154.00
08/27/2019,$155.75,2281142,$157.33,$157.48,$155.40
08/26/2019,$156.12,2215423,$157.01,$157.465,$155.08
08/23/2019,$155.85,4224008,$160.08,$160.35,$155.27
08/22/2019,$160.88,1441603,$162.00,$162.93,$160.15
08/21/2019,$161.15,1623565,$162.69,$163.65,$161.05
08/20/2019,$161.01,2061691,$163.11,$163.11,$160.96
08/19/2019,$162.95,3197998,$163.71,$163.953,$161.78
08/16/2019,$161.50,3481777,$157.84,$161.91,$157.45
08/15/2019,$156.84,4452733,$158.06,$159.70,$155.63
08/14/2019,$158.81,4056102,$162.50,$162.87,$158.67
08/13/2019,$164.88,3247304,$162.56,$167.88,$162.15
08/12/2019,$162.10,1473832,$163.02,$164.78,$161.55
08/09/2019,$163.47,1582093,$164.54,$164.75,$162.03
08/08/2019,$164.22,3260527,$164.37,$165.49,$163.55
08/07/2019,$163.64,5993166,$162.00,$163.95,$158.04
08/06/2019,$163.71,3494834,$164.82,$165.48,$162.90
08/05/2019,$164.71,2894657,$168.95,$169.02,$164.42
08/02/2019,$170.55,2423102,$172.86,$172.92,$169.81
08/01/2019,$173.36,2381294,$174.79,$177.67,$173.03
07/31/2019,$174.72,3015762,$177.65,$178.0236,$173.40
07/30/2019,$177.63,1978939,$175.66,$177.81,$173.80
07/29/2019,$176.76,2638931,$173.83,$177.62,$173.66
07/26/2019,$173.98,4016128,$177.63,$178.3898,$170.57
07/25/2019,$178.13,7362223,$187.01,$187.72,$176.66
07/24/2019,$179.42,3532346,$176.93,$180.29,$176.26
07/23/2019,$177.52,2360731,$176.00,$178.02,$175.65
07/22/2019,$174.64,2004610,$172.81,$175.21,$172.13
07/19/2019,$172.61,2360660,$173.01,$173.99,$172.21
07/18/2019,$173.06,2223279,$174.42,$175.14,$172.40
07/17/2019,$174.67,2947472,$176.35,$176.49,$174.10
07/16/2019,$176.49,3918853,$172.75,$177.25,$172.72
07/15/2019,$172.84,2187533,$173.38,$174.25,$171.21
07/12/2019,$173.34,3160670,$170.10,$173.36,$169.2459
07/11/2019,$169.04,2815142,$166.30,$169.09,$165.87
07/10/2019,$165.70,2661694,$166.19,$167.315,$165.565
07/09/2019,$165.70,4536143,$166.82,$167.45,$164.29
07/08/2019,$169.19,2285513,$169.92,$170.48,$168.77
07/05/2019,$172.00,1740696,$173.00,$173.28,$169.725
07/03/2019,$174.98,1170675,$174.17,$175.04,$172.93
07/02/2019,$174.02,1555476,$175.10,$175.10,$173.07
07/01/2019,$174.51,2107994,$175.46,$175.78,$173.52
06/28/2019,$173.34,3600970,$171.85,$174.37,$171.77
06/27/2019,$171.50,1718539,$172.51,$172.79,$170.65
06/26/2019,$171.88,1812226,$172.35,$173.24,$171.7186
06/25/2019,$172.03,2733265,$173.25,$173.39,$171.275
06/24/2019,$173.38,2711904,$173.35,$174.34,$173.34
06/21/2019,$173.35,4880902,$173.75,$174.56,$172.63
06/20/2019,$173.94,3064186,$172.87,$174.28,$171.70
06/19/2019,$170.75,2777447,$171.88,$172.81,$170.54
06/18/2019,$171.86,3623040,$167.85,$172.2666,$167.57
06/17/2019,$166.78,1783368,$167.10,$167.43,$166.4567
06/14/2019,$166.69,2719182,$168.24,$168.25,$166.05
06/13/2019,$168.85,2141467,$169.36,$169.90,$167.87
06/12/2019,$169.01,2166416,$169.87,$170.15,$168.59
06/11/2019,$168.91,2227253,$169.91,$170.36,$168.50
06/10/2019,$168.29,2257636,$168.11,$170.22,$167.87
06/07/2019,$166.61,2017674,$165.56,$167.09,$164.64
06/06/2019,$164.72,3581835,$164.00,$166.35,$162.46
06/05/2019,$163.85,3161679,$165.14,$165.83,$162.88
06/04/2019,$164.29,3747008,$161.73,$165.09,$161.58
06/03/2019,$160.04,3726881,$159.75,$161.50,$159.32
05/31/2019,$159.75,3521955,$159.83,$160.74,$159.63
05/30/2019,$160.58,2478748,$161.40,$162.27,$160.00
05/29/2019,$161.40,3669087,$163.01,$163.80,$160.50
05/28/2019,$163.35,4875105,$166.80,$166.99,$163.35
05/24/2019,$166.09,2366928,$166.34,$167.42,$165.32
05/23/2019,$165.87,3830288,$167.58,$168.30,$164.59
05/22/2019,$169.74,4504159,$167.43,$170.76,$166.46
05/21/2019,$167.30,4148575,$167.01,$167.42,$166.18
05/20/2019,$166.25,4374976,$167.96,$167.96,$165.61
05/17/2019,$169.09,4595046,$170.00,$170.26,$168.43
05/16/2019,$171.81,4039493,$174.39,$174.39,$171.36
05/15/2019,$174.12,3015543,$174.02,$175.65,$173.651
05/14/2019,$175.21,4013992,$174.79,$176.97,$174.51
05/13/2019,$174.07,5916911,$173.935,$174.58,$172.79
05/10/2019,$175.86,5012341,$175.02,$176.33,$173.01
05/09/2019,$175.28,5098235,$177.30,$177.40,$174.18
05/08/2019,$178.59,2990518,$179.51,$180.525,$178.50
05/07/2019,$179.12,5415556,$181.81,$181.90,$177.81
05/06/2019,$183.04,6517556,$182.04,$183.1055,$180.13
05/03/2019,$185.22,4747767,$185.81,$186.685,$184.0886
05/02/2019,$184.75,5654907,$184.50,$186.50,$183.38
05/01/2019,$186.07,3818525,$189.49,$189.71,$185.92
04/30/2019,$189.51,4348318,$190.86,$190.86,$186.5475
04/29/2019,$190.21,3795081,$191.52,$192.19,$189.75
04/26/2019,$191.67,4486920,$190.53,$192.25,$189.36
04/25/2019,$190.72,14566230,$197.54,$198.96,$189.60
04/24/2019,$219.08,2042849,$219.00,$219.75,$218.10
04/23/2019,$219.50,1557402,$218.01,$219.55,$217.18
04/22/2019,$218.54,1403478,$217.30,$219.40,$217.27
04/18/2019,$218.88,1780121,$217.98,$219.67,$217.62
04/17/2019,$217.64,1977565,$217.63,$219.33,$217.175
04/16/2019,$216.90,1549608,$216.59,$217.67,$215.48
04/15/2019,$215.83,1483270,$216.84,$217.36,$214.90
04/12/2019,$217.42,1922404,$215.10,$217.49,$214.35
04/11/2019,$213.53,1181246,$211.71,$213.71,$211.44
04/10/2019,$212.11,1346476,$212.42,$212.71,$210.72
04/09/2019,$211.96,1516450,$214.42,$214.57,$211.82
04/08/2019,$215.02,1130041,$214.71,$215.07,$213.47
04/05/2019,$215.41,1391067,$215.88,$216.49,$214.80
04/04/2019,$215.03,1560871,$213.50,$215.27,$212.325
04/03/2019,$213.13,1569355,$212.95,$213.93,$212.44
04/02/2019,$212.13,1409956,$212.24,$212.70,$211.0027
04/01/2019,$211.94,2458491,$209.89,$212.3901,$209.255
03/29/2019,$207.78,2858120,$209.29,$209.495,$206.20
03/28/2019,$208.53,1670589,$208.00,$208.74,$206.64
03/27/2019,$207.16,2000075,$207.40,$207.942,$205.1288
03/26/2019,$207.24,1895561,$205.00,$207.64,$204.77
03/25/2019,$203.21,2020649,$203.46,$205.47,$202.25
03/22/2019,$204.66,2715861,$208.29,$208.49,$204.4704
03/21/2019,$209.61,2288054,$206.80,$210.16,$205.97
03/20/2019,$208.30,1732893,$209.00,$210.51,$207.29
03/19/2019,$209.02,2338547,$209.10,$210.54,$208.3148
03/18/2019,$208.49,1843555,$208.44,$208.60,$205.6119
03/15/2019,$208.08,4393793,$208.40,$208.66,$206.79
03/14/2019,$207.38,1793354,$206.70,$207.45,$205.73
03/13/2019,$206.66,2033908,$206.83,$207.30,$205.63
03/12/2019,$205.80,2115091,$207.84,$208.39,$205.375
03/11/2019,$207.10,2384636,$201.88,$207.1599,$201.66
03/08/2019,$200.89,1724487,$198.38,$201.17,$198.00
03/07/2019,$199.86,3339598,$202.56,$202.56,$198.50
03/06/2019,$202.80,1825273,$204.73,$204.79,$202.76
03/05/2019,$203.84,2674619,$205.58,$207.25,$203.84
03/04/2019,$206.86,1988997,$208.99,$209.98,$205.7384
03/01/2019,$207.49,1754391,$208.81,$209.76,$206.90
02/28/2019,$207.39,2121733,$209.05,$209.05,$206.96
02/27/2019,$209.03,1540581,$209.60,$209.69,$208.16
02/26/2019,$209.38,1671294,$210.58,$211.59,$209.37
02/25/2019,$210.58,2183509,$210.47,$211.35,$210.34
02/22/2019,$209.35,1534158,$207.77,$209.66,$207.15
02/21/2019,$207.77,1734211,$208.16,$209.11,$207.25
02/20/2019,$208.53,1879145,$208.93,$208.97,$207.32
02/19/2019,$208.41,1534443,$207.91,$209.15,$207.39
02/15/2019,$208.86,1999978,$206.46,$208.97,$206.00
02/14/2019,$204.93,2229681,$206.59,$207.12,$204.05
02/13/2019,$209.72,2962423,$207.09,$210.40,$206.59
02/12/2019,$206.57,2619946,$202.87,$206.79,$202.19
02/11/2019,$200.91,1513450,$200.93,$201.20,$199.64
02/08/2019,$199.82,1451827,$199.22,$199.85,$197.90
02/07/2019,$199.84,1938140,$201.02,$202.40,$198.855
02/06/2019,$202.57,1672404,$201.22,$203.08,$200.25
02/05/2019,$201.12,1941605,$200.72,$201.13,$199.7252
02/04/2019,$200.21,1967144,$199.01,$200.26,$196.25
02/01/2019,$199.16,2231389,$201.49,$201.77,$198.29
01/31/2019,$200.30,3337686,$198.80,$200.89,$197.74
01/30/2019,$199.27,2168074,$198.22,$200.11,$194.63
01/29/2019,$196.95,4303450,$195.01,$199.89,$194.20
01/28/2019,$193.20,3156508,$193.14,$193.45,$191.07
01/25/2019,$195.90,2318872,$194.72,$197.16,$194.46
01/24/2019,$192.52,1582804,$192.26,$193.165,$191.51
01/23/2019,$192.29,1652932,$192.63,$194.00,$190.275
01/22/2019,$192.26,2691506,$194.22,$194.49,$190.43
01/18/2019,$195.86,2726384,$194.34,$196.40,$192.36
01/17/2019,$191.71,1946803,$188.56,$192.90,$187.895
01/16/2019,$189.48,2484737,$188.51,$190.44,$188.42
01/15/2019,$188.94,2721704,$188.84,$190.6761,$187.86
01/14/2019,$192.17,1908880,$190.64,$192.83,$189.80
01/11/2019,$192.21,2357724,$191.84,$192.69,$190.86
01/10/2019,$193.60,1938815,$190.87,$193.81,$189.40
01/09/2019,$192.30,2163613,$193.25,$193.94,$191.3816
01/08/2019,$191.68,2321058,$193.00,$194.11,$189.58
01/07/2019,$190.88,2148846,$191.36,$192.30,$188.66
01/04/2019,$191.32,2947639,$186.75,$191.98,$186.03
01/03/2019,$183.76,3335646,$188.28,$188.28,$182.89
01/02/2019,$190.95,2471146,$187.82,$190.99,$186.70
12/31/2018,$190.54,1804309,$190.34,$191.65,$188.50
12/28/2018,$189.37,2216950,$191.81,$192.30,$188.57
12/27/2018,$190.70,2709737,$183.50,$190.70,$182.88
12/26/2018,$186.26,2892007,$179.38,$186.33,$176.87
12/24/2018,$178.62,2249502,$181.89,$183.54,$178.51
12/21/2018,$183.75,6686921,$187.86,$190.50,$183.64
12/20/2018,$187.38,3603130,$189.11,$191.12,$185.50
12/19/2018,$189.96,3261600,$196.00,$198.23,$189.70
12/18/2018,$194.56,2631641,$193.39,$196.92,$193.15
12/17/2018,$192.82,2531113,$195.84,$198.245,$191.85
12/14/2018,$196.10,2473211,$200.12,$201.57,$195.85
12/13/2018,$202.13,1800948,$201.43,$202.40,$199.5208
12/12/2018,$199.81,1909963,$200.60,$202.62,$199.70
12/11/2018,$197.46,1752952,$201.26,$202.00,$196.14
12/10/2018,$198.32,1980256,$198.36,$198.95,$193.64
12/07/2018,$198.24,2254455,$202.62,$204.37,$197.01
12/06/2018,$202.68,2973200,$199.61,$203.08,$198.19
12/04/2018,$202.20,2695288,$208.06,$208.55,$202.09
12/03/2018,$208.76,2492603,$211.21,$211.95,$207.05
11/30/2018,$207.92,3169562,$204.36,$207.92,$203.98
11/29/2018,$204.56,1566222,$203.87,$205.84,$202.66
11/28/2018,$204.34,2182297,$201.99,$204.35,$199.42
11/27/2018,$200.69,2079649,$199.12,$201.32,$196.7793
11/26/2018,$199.86,2320973,$198.57,$201.83,$197.32
11/23/2018,$196.80,999927,$197.76,$198.6799,$196.79
11/21/2018,$198.69,1832734,$199.68,$201.18,$198.66
11/20/2018,$200.51,2676984,$203.58,$204.135,$200.19
11/19/2018,$205.58,3219027,$207.83,$208.05,$204.371
11/16/2018,$209.00,2580844,$203.24,$209.77,$202.6037
11/15/2018,$204.91,3156648,$197.73,$205.13,$196.24
11/14/2018,$198.06,2790971,$200.80,$201.04,$196.29
11/13/2018,$198.37,2162796,$197.52,$200.88,$197.16
11/12/2018,$197.04,2526397,$200.57,$200.77,$196.50
11/09/2018,$201.10,2429270,$204.00,$204.00,$199.6974
11/08/2018,$204.07,2523111,$201.00,$204.2699,$200.73
11/07/2018,$201.29,2444447,$197.19,$201.40,$195.41
11/06/2018,$195.30,1899799,$193.27,$195.50,$193.00
11/05/2018,$193.25,2856578,$193.50,$194.56,$192.21
11/02/2018,$192.81,2991724,$193.66,$194.47,$191.60
11/01/2018,$192.22,2222196,$190.61,$193.21,$190.09
10/31/2018,$190.26,2742850,$190.70,$192.12,$189.665
10/30/2018,$189.81,2893464,$186.83,$190.08,$185.00
10/29/2018,$185.79,2866143,$187.85,$188.88,$183.16
10/26/2018,$184.95,3541156,$183.31,$186.655,$181.98
10/25/2018,$184.99,3506012,$186.57,$187.48,$182.36
10/24/2018,$184.54,4994422,$192.10,$192.96,$183.97
10/23/2018,$192.55,8253742,$188.80,$194.89,$184.50
10/22/2018,$201.36,3223981,$201.25,$203.40,$199.69
